OrderID,CustomerID,SKU,Description,Cost,Year_Purchase
202024,1124,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,189,2019
202025,1125,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,101,2021
202026,1126,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,281,2019
202027,1127,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,205,2019
202028,1128,ENT-24-40F,Enterprise Switch 40GigE SFP+ 24 port ,294,2020
202029,1129,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,172,2020
202030,1130,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,48,2019
202031,1131,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,292,2019
202032,1132,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,52,2021
202033,1133,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,78,2019
202034,1134,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,120,2018
202035,1135,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,261,2018
202036,1136,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,88,2018
202037,1137,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,167,2019
202038,1138,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,111,2018
202039,1139,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,6,2018
202040,1140,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,166,2019
202041,1141,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,226,2019
202042,1142,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,263,2021
202043,1143,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,44,2021
202044,1144,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,146,2021
202045,1145,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,105,2018
202046,1146,ENT-24-40F,Enterprise Switch 40GigE SFP+ 24 port ,123,2018
202047,1147,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,70,2018
202048,1148,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,208,2019
202049,1149,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,273,2021
202050,1150,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,46,2021
202051,1151,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,157,2021
202052,1152,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,33,2020
202053,1153,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,80,2019
202054,1154,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,36,2021
202055,1155,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,157,2021
202056,1156,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,185,2020
202057,1157,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,45,2019
202058,1158,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,113,2018
202059,1159,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,26,2019
202060,1160,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,277,2020
202061,1161,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,133,2021
202062,1162,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,246,2018
202063,1163,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,108,2018
202064,1164,ENT-24-40F,Enterprise Switch 40GigE SFP+ 24 port ,61,2020
202065,1165,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,281,2020
202066,1166,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,112,2021
202067,1167,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,260,2019
202068,1168,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,191,2020
202069,1169,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,237,2020
202070,1170,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,114,2018
202071,1171,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,285,2021
202072,1172,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,75,2019
202073,1173,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,264,2020
202074,1174,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,294,2021
202075,1175,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,44,2019
202076,1176,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,127,2020
202077,1177,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,73,2021
202078,1178,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,144,2020
202079,1179,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,206,2020
202080,1180,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,109,2020
202081,1181,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,187,2018
202082,1182,ENT-24-40F,Enterprise Switch 40GigE SFP+ 24 port ,234,2018
202083,1183,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,277,2018
202084,1184,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,169,2020
202085,1185,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,294,2020
202086,1186,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,292,2020
202087,1187,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,57,2021
202088,1188,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,284,2020
202089,1189,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,32,2020
202090,1190,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,135,2018
202091,1191,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,167,2019
202092,1192,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,94,2019
202093,1193,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,125,2020
202094,1194,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,182,2018
202095,1195,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,266,2020
202096,1196,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,94,2020
202097,1197,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,166,2018
202098,1198,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,156,2020
202099,1199,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,135,2021
202100,1200,ENT-24-40F,Enterprise Switch 40GigE SFP+ 24 port ,26,2021
202101,1201,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,125,2019
202102,1202,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,268,2020
202103,1203,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,164,2019
202104,1204,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,212,2021
202105,1205,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,249,2021
202106,1206,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,288,2019
202107,1207,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,235,2021
202108,1208,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,44,2019
202109,1209,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,173,2019
202110,1210,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,64,2021
202111,1211,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,145,2021
202112,1212,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,207,2019
202113,1213,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,78,2020
202114,1214,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,53,2018
202115,1215,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,81,2020
202116,1216,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,241,2020
202117,1217,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,297,2021
202118,1218,ENT-24-40F,Enterprise Switch 40GigE SFP+ 24 port ,49,2021
202119,1219,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,166,2020
202120,1220,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,34,2019
202121,1221,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,36,2019
202122,1222,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,221,2019
202123,1223,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,70,2018
202124,1224,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,45,2019
202125,1225,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,116,2018
202126,1226,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,6,2020
202127,1227,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,201,2021
202128,1228,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,234,2021
202129,1229,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,106,2019
202130,1230,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,80,2021
202131,1231,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,242,2018
202132,1232,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,19,2020
202133,1233,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,32,2020
202134,1234,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,98,2018
202135,1235,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,289,2020
202136,1236,ENT-24-40F,Enterprise Switch 40GigE SFP+ 24 port ,130,2021
202137,1237,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,4,2021
202138,1238,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,273,2021
202139,1239,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,159,2021
202140,1240,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,237,2020
202141,1241,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,157,2021
202142,1242,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,262,2019
202143,1243,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,12,2018
202144,1244,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,196,2020
202145,1245,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,248,2018
202146,1246,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,262,2019
202147,1247,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,279,2018
202148,1248,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,237,2020
202149,1249,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,47,2018
202150,1250,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,129,2019
202151,1251,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,265,2018
202152,1252,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,107,2018
202153,1253,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,114,2018
202154,1254,ENT-24-40F,Enterprise Switch 40GigE SFP+ 24 port ,175,2020
202155,1255,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,119,2020
202156,1256,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,201,2019
202157,1257,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,242,2020
202158,1258,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,161,2021
202159,1259,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,148,2020
202160,1260,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,92,2020
202161,1261,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,124,2018
202162,1262,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,119,2020
202163,1263,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,136,2018
202164,1264,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,214,2019
202165,1265,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,129,2018
202166,1266,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,207,2021
202167,1267,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,222,2019
202168,1268,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,46,2020
202169,1269,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,63,2020
202170,1270,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,224,2018
202171,1271,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,285,2019
202172,1272,ENT-24-40F,Enterprise Switch 40GigE SFP+ 24 port ,62,2019
202173,1273,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,162,2021
202174,1274,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,34,2018
202175,1275,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,290,2018
202176,1276,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,63,2021
202177,1277,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,129,2020
202178,1278,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,119,2019
202179,1279,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,30,2020
202180,1280,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,214,2018
202181,1281,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,247,2021
202182,1282,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,290,2019
202183,1283,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,299,2018
202184,1284,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,46,2018
202185,1285,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,260,2020
202186,1286,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,290,2018
202187,1287,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,211,2021
202188,1288,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,78,2020
202189,1289,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,129,2020
202190,1290,ENT-24-40F,Enterprise Switch 40GigE SFP+ 24 port ,20,2021
202191,1291,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,252,2020
202192,1292,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,129,2020
202193,1293,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,171,2021
202194,1294,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,22,2021
202195,1295,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,247,2018
202196,1296,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,135,2021
202197,1297,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,236,2018
202198,1298,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,232,2020
202199,1299,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,261,2018
202200,1300,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,42,2019
202201,1301,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,282,2020
202202,1302,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,60,2020
202203,1303,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,228,2019
202204,1304,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,274,2021
202205,1305,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,224,2020
202206,1306,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,202,2020
202207,1307,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,174,2021
202208,1308,ENT-24-40F,Enterprise Switch 40GigE SFP+ 24 port ,248,2021
202209,1309,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,27,2021
202210,1310,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,107,2018
202211,1311,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,56,2019
202212,1312,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,17,2019
